Field ID,Type,Water,Serial,Date Deployed,Time Deployed,Date Pulled,Time Pulled,Northings,Eastings,Elevation,Average Maximum Inundation Depth (m),Maximum Maximum Inundation Depth (m),Average Inundation Duration (min),Maximum Inundation Duration (min),Portion of Time Inundated,Depth*Duration Flood Metric
13,Plat,Salt,21411074,9/15/2022,4:00:00 PM,10/7/2022,1:30 PM,4613584.734,413781.797,0.415,0.2015,0.367,229.3333333,320,0.0866,0.01745
12,Edge,Salt,21411121,9/15/2022,4:00:00 PM,10/7/2022,1:30 PM,4613577.421,413795.965,0.776,0,0,0,0,0,0
9,Plat,?,21440242,9/15/2022,4:00:00 PM,10/7/2022,1:30 PM,4613727.777,413344.567,0.53,0.1054,0.21,160.9090909,250,0.0577,0.00608
4,Plat,Salt,21440243,9/15/2022,4:00:00 PM,10/7/2022,1:30 PM,4613670.925,413344.033,0.596,0.0735,0.123,133.3333333,210,0.0311,0.00229
10,Plat,?,21440244,9/15/2022,4:00:00 PM,10/7/2022,1:30 PM,4613732.627,413344.57,0.549,0.1031,0.199,162.5,250,0.0519,0.00535
17,Plat,Salt,21440245,9/15/2022,4:00:00 PM,10/7/2022,1:30 PM,4613659.18,413729.29,0.521,0.1132,0.213,152.5,230,0.0514,0.00582
34,Plat,Salt,21440246,9/15/2022,4:00:00 PM,10/7/2022,1:30 PM,4613832.259,413648.658,0.507,0.1231,0.232,174,250,0.0615,0.00758
39,Plat,?,21440247,9/15/2022,4:00:00 PM,10/7/2022,1:30 PM,4613959.38,413698.103,0.775,0.057,0.057,150,150,0.0089,0.00051
27,Plat,Salt,21440248,9/15/2022,4:00:00 PM,10/7/2022,1:30 PM,4613807.941,413705.112,0.267,0.2052,0.402,215.625,340,0.1139,0.02338
30,Plat,Salt,21440249,9/15/2022,4:00:00 PM,10/7/2022,1:30 PM,4613824.453,413677.149,0.671,0.0458,0.075,67.5,120,0.0084,0.00038
29,Plat,Salt,21440250,9/15/2022,4:00:00 PM,10/7/2022,1:30 PM,4613818.867,413682.845,0.63,0.0938,0.173,121.6666667,180,0.0159,0.0015
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
23,Plat,Salt,21384654,9/15/2022,4:00:00 PM,10/7/2022,1:30 PM,4613644.321,413751.24,0.543,,,,,,
43,Creek,Brackish,21071954,9/15/2022,4:00:00 PM,10/7/2022,1:30 PM,,,,0.0678,0.47,1779.52,4360,0.3425,0.02321
