poly_number,point_number,subclass,northing,easting,elevation,notes,date,type,veg_height_cm,veg_height_m,outside_mask,out_rgb_may,out_lidar_may,out_rgb_aug,out_lidar_aug,site,predicted
NA,102,10,4637258.534,416807.598,1.19,NA,2022-08-24,EVP,40,0.4,NA,NA,NA,NA,NA,wel,1.2085012392959678
NA,103,5,4637054.006,416914.744,1.61,NA,2022-08-07,EVP,44,0.44,NA,NA,NA,NA,NA,wel,1.6545401363550951
NA,105,3,4637434.317,417088.597,1.427,NA,2022-08-07,EVP,38,0.38,Yes?,NA,NA,NA,NA,wel,NA
NA,107,10,4637023.913,417259.191,1.519,NA,2022-08-07,EVP,18,0.18,NA,NA,NA,NA,NA,wel,NA
NA,108,1,4637176.399,416755.615,1.11,NA,2022-08-24,EVP,121,1.21,NA,NA,NA,NA,NA,wel,1.3538780997855482
NA,109,6,4637258.886,417202.766,1.513,NA,2022-08-07,EVP,26,0.26,NA,NA,NA,NA,NA,wel,NA
NA,110,10,4636968.185,416774.559,1.472,NA,2022-08-24,EVP,15,0.15,NA,NA,NA,NA,NA,wel,1.4992950944342978
NA,111,10,4637209.131,416797.323,1.212,NA,2022-08-24,EVP,36,0.36,NA,NA,NA,NA,NA,wel,1.2184346456234534
NA,112,6,4637158.453,417125.769,1.555,NA,2022-08-07,EVP,25,0.25,NA,NA,NA,NA,NA,wel,NA
NA,113,6,4636946.164,416857.888,1.468,NA,2022-08-24,EVP,17,0.17,NA,NA,NA,NA,NA,wel,1.5291674657034835
NA,114,3,4637142.086,417308.433,1.634,NA,2022-08-07,EVP,31,0.31,NA,NA,NA,NA,NA,wel,NA
NA,115,6,4637208.179,416874.721,1.44,NA,2022-08-24,EVP,14,0.14,NA,NA,NA,NA,NA,wel,1.56498213227151
NA,117,5,4637042.859,416945.058,1.64,NA,2022-08-07,EVP,40,0.4,NA,NA,NA,NA,NA,wel,1.674386645864506
NA,118,8,4637019.969,416798.491,1.588,NA,2022-08-24,EVP,37,0.37,NA,NA,NA,NA,NA,wel,1.600010740311747
NA,119,8,4637106.4,416969.571,1.695,NA,2022-08-07,EVP,43,0.43,NA,NA,NA,NA,NA,wel,1.7243535029172703
NA,120,10,4636925.515,416713.223,1.516,NA,2022-08-24,EVP,11,0.11,NA,NA,NA,NA,NA,wel,1.5321025042513827
NA,121,7,4637381.163,416893.207,1.609,NA,2022-08-24,EVP,28,0.28,NA,NA,NA,NA,NA,wel,1.6658559282468053
NA,122,6,4637271.935,417009.451,1.495,NA,2022-08-07,EVP,28,0.28,NA,NA,NA,NA,NA,wel,NA
NA,126,3,4637104.286,417067.942,1.55,NA,2022-08-07,EVP,37,0.37,NA,NA,NA,NA,NA,wel,NA
NA,127,2,4636994.022,416726.888,1.565,NA,2022-08-24,EVP,73,0.73,NA,NA,NA,NA,NA,wel,1.6037863961113796
NA,128,3,4637303.187,417056.937,1.481,NA,2022-08-07,EVP,11,0.11,NA,NA,NA,NA,NA,wel,NA
NA,129,6,4637357.966,416862.508,1.418,NA,2022-08-24,EVP,24,0.24,NA,NA,NA,NA,NA,wel,1.4979124635719308
NA,130,3,4637223.926,417146.108,1.495,NA,2022-08-07,EVP,18,0.18,NA,NA,NA,NA,NA,wel,NA
NA,131,8,4637079.014,417213.962,2.022,NA,2022-08-07,EVP,46,0.46,Yes,NA,NA,NA,NA,wel,NA
NA,132,9,4637242.157,417128.333,1.351,NA,2022-08-07,EVP,25,0.25,NA,NA,NA,NA,NA,wel,NA
NA,134,10,4636833.052,416694.054,1.353,NA,2022-08-24,EVP,55,0.55,NA,NA,NA,NA,NA,wel,1.3912834913272984
NA,135,10,4637077.521,416797.676,1.496,NA,2022-08-24,EVP,13,0.13,NA,NA,NA,NA,NA,wel,1.5119829185086162
NA,136,3,4637095.449,416721.488,1.353,NA,2022-08-24,EVP,23,0.23,NA,NA,NA,NA,NA,wel,1.4192339363237858
NA,137,9,4637481.284,417297.927,1.872,NA,2022-08-07,EVP,84,0.84,NA,NA,NA,NA,NA,wel,NA
NA,138,6,4636923.468,416714.758,1.511,NA,2022-08-24,EVP,9,0.09,NA,NA,NA,NA,NA,wel,1.5684109810274756
NA,139,12,4637038.644,417241.501,1.643,NA,2022-08-07,EVP,195,1.95,NA,NA,NA,NA,NA,wel,NA
NA,140,10,4637201.068,416829.36,1.304,NA,2022-08-24,EVP,30,0.3,NA,NA,NA,NA,NA,wel,1.3506065966136416
NA,141,6,4637221.872,417183.262,1.511,NA,2022-08-07,EVP,23,0.23,NA,NA,NA,NA,NA,wel,NA
NA,143,3,4637114.25,416886.302,1.515,NA,2022-08-24,EVP,22,0.22,NA,NA,NA,NA,NA,wel,1.5653064088825268
NA,144,2,4636972.296,416715.407,1.458,NA,2022-08-24,EVP,75,0.75,NA,NA,NA,NA,NA,wel,1.5586960612578313
NA,145,6,4637007.651,416783.373,1.437,NA,2022-08-24,EVP,9,0.09,NA,NA,NA,NA,NA,wel,1.4965559435634574
NA,146,5,4637114.093,417096.361,1.538,NA,2022-08-07,EVP,46,0.46,NA,NA,NA,NA,NA,wel,NA
NA,147,3,4637128.207,417154.758,1.718,NA,2022-08-07,EVP,22,0.22,NA,NA,NA,NA,NA,wel,NA
NA,148,1,4637444.913,417095.005,1.273,NA,2022-08-07,EVP,96,0.96,NA,NA,NA,NA,NA,wel,NA
NA,149,6,4637261.129,417148.691,1.535,NA,2022-08-07,EVP,26,0.26,NA,NA,NA,NA,NA,wel,NA
NA,150,6,4637177.195,417080.282,1.487,NA,2022-08-07,EVP,28,0.28,NA,NA,NA,NA,NA,wel,NA
NA,151,4,4637172.848,417148.954,1.595,NA,2022-08-07,EVP,19,0.19,NA,NA,NA,NA,NA,wel,NA
NA,152,10,4637169.954,417086.083,1.225,NA,2022-08-07,EVP,82,0.82,NA,NA,NA,NA,NA,wel,NA
NA,153,2,4637442.151,416865.484,1.469,NA,2022-08-24,EVP,65,0.65,NA,NA,NA,NA,NA,wel,1.5057456355516392
NA,154,9,4637425.826,416898.464,1.625,NA,2022-08-24,EVP,76,0.76,NA,NA,NA,NA,NA,wel,1.7056229309194966
NA,155,3,4637464.229,417086.064,1.461,NA,2022-08-07,EVP,24,0.24,NA,NA,NA,NA,NA,wel,NA
NA,157,6,4636976.149,416754.523,1.518,NA,2022-08-24,EVP,10,0.1,NA,NA,NA,NA,NA,wel,1.5525076810934508
NA,158,4,4637150.99,417244.453,1.479,NA,2022-08-07,EVP,49,0.49,NA,NA,NA,NA,NA,wel,NA
NA,159,11,4637137.42,417332.399,1.744,NA,2022-08-07,EVP,154,1.54,NA,NA,NA,NA,NA,wel,NA
NA,161,10,4637256.002,417186.069,1.556,NA,2022-08-07,EVP,11,0.11,NA,NA,NA,NA,NA,wel,NA
NA,162,6,4637142.094,417103.21,1.554,NA,2022-08-07,EVP,21,0.21,NA,NA,NA,NA,NA,wel,NA
NA,163,12,4637301.235,417313.056,1.766,NA,2022-08-07,EVP,190,1.9,NA,NA,NA,NA,NA,wel,NA
NA,164,10,4637216.374,416803.702,1.3,NA,2022-08-24,EVP,34,0.34,NA,NA,NA,NA,NA,wel,1.2952724493685648
NA,165,6,4637071.211,416956.44,1.662,NA,2022-08-07,EVP,20,0.2,NA,NA,NA,NA,NA,wel,1.7266170327534744
NA,166,6,4637128.468,416811.905,1.654,NA,2022-08-24,EVP,8,0.08,NA,NA,NA,NA,NA,wel,1.728412664297065
NA,167,11,4637090.835,417312.471,1.505,NA,2022-08-07,EVP,203,2.03,NA,NA,NA,NA,NA,wel,NA
NA,168,11,4637232.244,417313.204,1.737,NA,2022-08-07,EVP,109,1.09,NA,NA,NA,NA,NA,wel,NA
NA,169,9,4637186.975,417021.906,1.791,NA,2022-08-07,EVP,93,0.93,NA,NA,NA,NA,NA,wel,NA
NA,170,11,4637140.927,417330.509,1.772,NA,2022-08-07,EVP,174,1.74,NA,NA,NA,NA,NA,wel,NA
NA,171,9,4637375.996,417314.071,1.92,NA,2022-08-07,EVP,124,1.24,NA,NA,NA,NA,NA,wel,NA
NA,172,10,4636838.926,416716.937,1.307,NA,2022-08-24,EVP,47,0.47,NA,NA,NA,NA,NA,wel,1.4183195980392096
NA,173,11,4637154.052,417323.185,1.739,NA,2022-08-07,EVP,151,1.51,NA,NA,NA,NA,NA,wel,NA
NA,175,1,4637076.144,417188.763,1.869,NA,2022-08-07,EVP,70,0.7,NA,NA,NA,NA,NA,wel,NA
NA,176,12,4637056.728,417309.656,1.784,NA,2022-08-07,EVP,226,2.26,NA,NA,NA,NA,NA,wel,NA
NA,177,1,4636905.241,416587.63,1.21,NA,2022-08-24,EVP,58,0.58,NA,NA,NA,NA,NA,wel,1.2881805607075096
NA,178,10,4637250.061,417171.345,1.563,NA,2022-08-07,EVP,10,0.1,NA,NA,NA,NA,NA,wel,NA
NA,180,11,4637160.599,417320.352,1.806,NA,2022-08-07,EVP,108,1.08,NA,NA,NA,NA,NA,wel,NA
NA,181,3,4637064.947,416714.836,1.367,NA,2022-08-24,EVP,34,0.34,NA,NA,NA,NA,NA,wel,1.417337154652921
NA,183,3,4637073.925,417107.101,1.695,NA,2022-08-07,EVP,21,0.21,NA,NA,NA,NA,NA,wel,NA
NA,184,12,4637352.166,417302.907,1.751,NA,2022-08-07,EVP,208,2.08,NA,NA,NA,NA,NA,wel,NA
NA,185,12,4637050.116,417302.98,1.874,NA,2022-08-07,EVP,124,1.24,NA,NA,NA,NA,NA,wel,NA
NA,186,10,4637079.129,417293.85,1.593,NA,2022-08-07,EVP,15,0.15,NA,NA,NA,NA,NA,wel,NA
NA,187,3,4637051.489,416723.518,1.397,NA,2022-08-24,EVP,24,0.24,NA,NA,NA,NA,NA,wel,1.4394528964032873
NA,188,12,4637077.177,417304.739,1.747,NA,2022-08-07,EVP,216,2.16,NA,NA,NA,NA,NA,wel,NA
NA,189,1,4637267.242,417114.58,1.247,NA,2022-08-07,EVP,67,0.67,NA,NA,NA,NA,NA,wel,NA
NA,191,1,4637247.242,416688.607,0.639,NA,2022-08-24,EVP,204,2.04,NA,NA,NA,NA,NA,wel,0.6218945859751313
NA,192,1,4637142.229,417194.936,1.269,NA,2022-08-07,EVP,78,0.78,NA,NA,NA,NA,NA,wel,NA
NA,193,1,4637119.183,417294.24,1.269,NA,2022-08-07,EVP,108,1.08,NA,NA,NA,NA,NA,wel,NA
NA,194,11,4637210.356,417314.607,1.63,NA,2022-08-07,EVP,136,1.36,NA,NA,NA,NA,NA,wel,NA
NA,195,6,4637300.974,417156.187,1.517,NA,2022-08-07,EVP,25,0.25,NA,NA,NA,NA,NA,wel,NA
NA,196,5,4637259.027,416729.432,1.444,NA,2022-08-24,EVP,31,0.31,NA,NA,NA,NA,NA,wel,1.5039588799516028
NA,197,1,4637200.358,416712.666,1.102,NA,2022-08-24,EVP,164,1.64,NA,NA,NA,NA,NA,wel,1.1191739475046805
NA,200,1,4636977.624,416796.662,1.45,NA,2022-08-24,EVP,85,0.85,NA,NA,NA,NA,NA,wel,1.4960787632752655
NA,201,12,4637113.833,417357.218,1.533,NA,2022-08-07,EVP,290,2.9,NA,NA,NA,NA,NA,wel,NA
