,,RTCM0052,,4644294.634,362797.686,40.023,
,Transect,Point Number,Subclass,,,,Notes
,,199,02a,4670473.732,358033.661,1.024,
1,,200,03a,4670474.986,358034.019,1.09,
,,201,03a,4670485.919,358036.003,1.168,
1,,202,02a,4670486.771,358037.372,1.289,
2,,203,10a,4670487.767,358038.801,1.431,
,,204,10a,4670489.318,358038.667,1.498,
,,205,10a,4670491.062,358036.968,1.488,
,,206,10a,4670497.801,358034.35,1.451,
,,207,10a,4670501.225,358033.225,1.295,
1,,208,02a,4670502.114,358031.988,1.208,
,,209,02a,4670507.667,358031.969,1.414,
1,,210,10a,4670508.785,358032.007,1.478,
,,211,10a,4670512.298,358032.355,1.462,
1,,212,02a,4670512.606,358031.346,1.436,
2,,213,32,4670539.872,358036.986,1.184,
,,214,32,4670551.508,358036.207,1.321,
1,,215,21j,4670545.502,357999.09,0.876,
,,216,21j,4670536.495,357997.13,0.83,
,,217,21j,4670522.712,357994.272,0.74,
,,218,21j,4670509.783,357991.484,0.786,
1,,219,01a,4670509.411,357992.831,0.994,
2,,220,22j,4670510.185,357990.503,0.777,
3,,221,01a,4670510.538,357988.802,0.987,
,,222,01a,4670517.844,357989.921,1.005,
1,,223,22j,4670517.522,357991.94,0.874,
,,224,22j,4670526.687,357994.02,0.786,
,,225,22j,4670539.086,357996.846,0.824,
1,,226,01a,4670536.224,357998.643,1.073,
