poly_number,point_number,subclass,northing,easting,elevation,notes,date,type,veg_height_cm,veg_height_m,outside_mask,out_rgb_may,out_lidar_may,out_rgb_aug,out_lidar_aug,site,predicted
NA,131,5,4613804.792,413627.24,0.534,NA,2022-08-10,EVP,48,0.48,NA,NA,NA,NA,NA,rr,0.7673887925064355
NA,132,4,4613793.504,413576.437,0.495,NA,2022-08-10,EVP,51,0.51,NA,NA,NA,NA,NA,rr,0.7773206356585672
NA,133,4,4613722.409,413524.679,0.525,NA,2022-08-10,EVP,30,0.3,NA,NA,NA,NA,NA,rr,0.6990150290178192
NA,134,4,4613521.477,413215.822,0.629,NA,2022-08-06,EVP,29,0.29,NA,NA,NA,NA,NA,rr,0.8169049557948056
NA,135,4,4613640.203,413265.121,0.794,NA,2022-08-06,EVP,22,0.22,NA,NA,NA,NA,NA,rr,0.895909758903134
NA,136,4,4613642.318,413251.49,0.737,NA,2022-08-06,EVP,31,0.31,NA,NA,NA,NA,NA,rr,0.9007424028671951
NA,139,4,4613728.529,413466.465,0.453,NA,2022-08-10,EVP,42,0.42,NA,NA,NA,NA,NA,rr,0.61808958371723
NA,140,3,4613765.571,413644.213,0.555,NA,2022-08-10,EVP,20,0.2,NA,NA,NA,NA,NA,rr,0.6914809606961476
NA,142,9,4613540.165,413289.351,0.796,NA,2022-08-06,EVP,69,0.69,NA,NA,NA,NA,NA,rr,1.111369614824
NA,143,8,4613517.361,413296.085,0.7,NA,2022-08-06,EVP,22,0.22,NA,NA,NA,NA,NA,rr,0.8223391911725499
NA,144,4,4613668.935,413402.037,0.664,NA,2022-08-06,EVP,38,0.38,NA,NA,NA,NA,NA,rr,0.7880511888959467
NA,145,3,4613762.271,413626.279,0.552,NA,2022-08-10,EVP,14,0.14,NA,NA,NA,NA,NA,rr,0.6674374591264975
NA,146,3,4613566.954,413747.9,0.376,NA,2022-08-06,EVP,23,0.23,NA,NA,NA,NA,NA,rr,0.5523120097211971
NA,147,3,4613458.627,413453.915,0.508,NA,2022-08-06,EVP,15,0.15,NA,NA,NA,NA,NA,rr,0.5915071817809849
NA,148,3,4613549.524,413789.581,0.442,NA,2022-08-06,EVP,18,0.18,NA,NA,NA,NA,NA,rr,0.5357999961824566
NA,149,3,4613472.841,413424.103,0.431,NA,2022-08-06,EVP,32,0.32,NA,NA,NA,NA,NA,rr,0.6042803397593354
NA,150,3,4613590.907,413660.122,0.434,NA,2022-08-06,EVP,18,0.18,NA,NA,NA,NA,NA,rr,0.59712609835374
NA,151,3,4613674.274,413252.612,0.655,NA,2022-08-06,EVP,19,0.19,NA,NA,NA,NA,NA,rr,0.7476598422166665
NA,152,3,4613588.179,413532.684,0.521,NA,2022-08-06,EVP,17,0.17,NA,NA,NA,NA,NA,rr,0.6446688170140624
NA,153,1,4613702.936,413558.692,0.338,NA,2022-08-10,EVP,116,1.16,NA,NA,NA,NA,NA,rr,0.5825496138831575
NA,154,3,4613591.171,413639.516,0.376,NA,2022-08-06,EVP,21,0.21,NA,NA,NA,NA,NA,rr,0.49987326641799
NA,155,3,4613599.606,413545.815,0.406,NA,2022-08-06,EVP,42,0.42,NA,NA,NA,NA,NA,rr,0.5520048100022317
NA,156,3,4613642.904,413625.733,0.462,NA,2022-08-06,EVP,19,0.19,NA,NA,NA,NA,NA,rr,0.5828633435714233
NA,157,3,4613649.941,413768.461,0.466,NA,2022-08-06,EVP,29,0.29,NA,NA,NA,NA,NA,rr,0.6450636759671712
NA,158,3,4613504.618,413268.8,0.534,NA,2022-08-06,EVP,20,0.2,NA,NA,NA,NA,NA,rr,0.6695240159603189
NA,159,3,4613752.62,413586.714,0.501,NA,2022-08-10,EVP,26,0.26,NA,NA,NA,NA,NA,rr,0.6364535890775148
NA,160,3,4613607.119,413561.434,0.491,NA,2022-08-06,EVP,24,0.24,NA,NA,NA,NA,NA,rr,0.6418934238854077
NA,161,2,4613810.426,413626.401,0.445,NA,2022-08-10,EVP,65,0.65,NA,NA,NA,NA,NA,rr,0.8151459078513158
NA,162,1,4613837.227,413740.818,0.194,NA,2022-08-10,EVP,128,1.28,NA,NA,NA,NA,NA,rr,0.7799999713897705
NA,163,1,4613852.432,413854.968,0.401,NA,2022-08-10,EVP,115,1.15,NA,NA,NA,NA,NA,rr,0.6834318438823704
NA,164,3,4613869.83,413857.637,0.459,NA,2022-08-10,EVP,26,0.26,NA,NA,NA,NA,NA,rr,0.5912335828090899
NA,166,3,4613863.708,413812.198,0.476,NA,2022-08-10,EVP,33,0.33,NA,NA,NA,NA,NA,rr,0.6547127972931169
NA,167,1,4613495.127,413463.66,0.435,NA,2022-08-06,EVP,53,0.53,NA,NA,NA,NA,NA,rr,0.743148798218684
NA,170,5,4613462.899,413334.242,0.456,NA,2022-08-06,EVP,29,0.29,NA,NA,NA,NA,NA,rr,0.6430771054731628
NA,172,2,4613483.85,413573.501,0.563,NA,2022-08-06,EVP,28,0.28,NA,NA,NA,NA,NA,rr,0.8318880080742909
NA,173,1,4613845.925,413628.926,0.191,NA,2022-08-10,EVP,76,0.76,NA,NA,NA,NA,NA,rr,0.6476319903082252
NA,175,1,4613843.9,413753.162,0.296,NA,2022-08-10,EVP,78,0.78,NA,NA,NA,NA,NA,rr,0.783560013668388
NA,176,1,4613703.683,413440.705,0.404,NA,2022-08-06,EVP,84,0.84,NA,NA,NA,NA,NA,rr,0.7959999752077274
NA,178,2,4613782.276,413586.535,0.483,NA,2022-08-10,EVP,50,0.5,NA,NA,NA,NA,NA,rr,0.7148512120698973
NA,179,1,4613845.109,413758.467,0.356,NA,2022-08-10,EVP,63,0.63,NA,NA,NA,NA,NA,rr,0.7548934353203912
