poly_number,point_number,subclass,northing,easting,elevation,notes,date,type,veg_height_cm,veg_height_m,outside_mask,out_rgb_may,out_lidar_may,out_rgb_aug,out_lidar_aug,site,predicted
NA,144,4,4737154.298,348141.438,1.317,NA,2022-08-11,EVP,41,0.41,NA,NA,NA,NA,NA,oth,NA
NA,146,3,4737701.836,347780.062,1.419,NA,2022-08-11,EVP,22,0.22,Yes,Yes,Yes,Yes,NA,oth,NA
NA,147,3,4737124.723,347884.815,1.329,NA,2022-08-11,EVP,40,0.4,NA,NA,NA,NA,NA,oth,NA
NA,148,3,4737075.836,347923.522,1.341,NA,2022-08-11,EVP,35,0.35,NA,NA,NA,NA,NA,oth,NA
NA,150,6,4737225.404,348150.05,1.218,NA,2022-08-11,EVP,22,0.22,NA,NA,NA,NA,NA,oth,NA
NA,151,3,4737092.797,347676.429,1.374,NA,2022-08-09,EVP,25,0.25,NA,NA,NA,NA,NA,oth,NA
NA,153,3,4736916.131,347796.538,1.432,NA,2022-08-09,EVP,19,0.19,NA,NA,NA,NA,NA,oth,1.52171479519313
NA,154,3,4737260.72,347740.912,1.353,NA,2022-08-11,EVP,31,0.31,NA,NA,NA,NA,NA,oth,NA
NA,155,3,4737034.102,347628.335,1.37,NA,2022-08-09,EVP,28,0.28,NA,NA,NA,NA,NA,oth,NA
NA,156,1,4737459.716,347655.941,0.999,NA,2022-08-11,EVP,115,1.15,NA,NA,NA,NA,NA,oth,NA
NA,157,3,4737082.591,347905.408,1.293,NA,2022-08-11,EVP,33,0.33,NA,NA,NA,NA,NA,oth,NA
NA,159,3,4736880.617,347942.816,1.401,NA,2022-08-09,EVP,34,0.34,NA,NA,NA,NA,NA,oth,1.5101975505440088
NA,160,3,4736883.122,347882.752,1.413,NA,2022-08-09,EVP,32,0.32,NA,NA,NA,NA,NA,oth,1.4427811749804387
NA,161,4,4737285.065,347796.181,1.463,NA,2022-08-11,EVP,40,0.4,NA,NA,NA,NA,NA,oth,NA
NA,162,2,4737163.787,348052.682,1.038,NA,2022-08-11,EVP,54,0.54,NA,NA,NA,NA,NA,oth,NA
NA,163,2,4737520.607,347538.439,1.5,NA,2022-08-11,EVP,45,0.45,NA,NA,NA,NA,NA,oth,NA
NA,164,4,4737175.232,347896.242,1.357,NA,2022-08-11,EVP,32,0.32,NA,NA,NA,NA,NA,oth,NA
NA,165,4,4737552.876,347626.265,1.391,NA,2022-08-11,EVP,53,0.53,NA,NA,NA,NA,NA,oth,NA
NA,167,2,4737061.072,347648.63,1.361,NA,2022-08-09,EVP,55,0.55,NA,NA,NA,NA,NA,oth,NA
NA,168,5,4737624.53,347793.359,1.366,NA,2022-08-11,EVP,41,0.41,Yes,Yes,Yes,NA,NA,oth,NA
NA,169,2,4737631.259,347772.407,1.245,NA,2022-08-11,EVP,82,0.82,Yes,Yes,Yes,NA,NA,oth,NA
NA,170,1,4736961.713,347762.625,0.852,NA,2022-08-09,EVP,88,0.88,NA,NA,NA,NA,NA,oth,0.7797985164767212
NA,171,5,4737342.654,347699.337,1.384,NA,2022-08-11,EVP,38,0.38,NA,NA,NA,NA,NA,oth,NA
NA,172,11,4737464.441,347789.802,1.478,NA,2022-08-11,EVP,94,0.94,NA,NA,NA,NA,NA,oth,NA
NA,173,6,4737354.589,347346.815,1.347,NA,2022-08-09,EVP,29,0.29,NA,NA,NA,NA,NA,oth,NA
NA,175,6,4737228.512,348171.029,1.203,NA,2022-08-11,EVP,17,0.17,NA,Yes,NA,NA,NA,oth,NA
NA,181,6,4737089.102,347522.134,1.534,NA,2022-08-09,EVP,34,0.34,NA,NA,NA,NA,NA,oth,NA
NA,183,6,4737226.702,347476.811,1.503,NA,2022-08-09,EVP,23,0.23,NA,NA,NA,NA,NA,oth,NA
NA,184,1,4736959.166,347758.41,0.693,NA,2022-08-09,EVP,117,1.17,NA,NA,NA,NA,NA,oth,0.7311609969211028
NA,185,5,4736954.745,347659.463,1.354,NA,2022-08-09,EVP,33,0.33,NA,NA,NA,NA,NA,oth,1.5041277170397458
NA,187,1,4736911.474,347885.432,0.623,NA,2022-08-09,EVP,118,1.18,NA,NA,NA,NA,NA,oth,0.7289110057010473
NA,188,1,4737117.619,347511.474,0.974,NA,2022-08-09,EVP,153,1.53,NA,NA,NA,NA,NA,oth,NA
NA,191,1,4736967.992,347635.245,0.893,NA,2022-08-09,EVP,112,1.12,NA,NA,NA,NA,NA,oth,1.0306399265751625
NA,192,6,4737005.165,347610.856,1.361,NA,2022-08-09,EVP,19,0.19,NA,NA,NA,NA,NA,oth,NA
NA,194,6,4737340.16,347369.614,1.428,NA,2022-08-09,EVP,16,0.16,NA,NA,NA,NA,NA,oth,NA
NA,195,4,4736979.471,347600.114,1.345,NA,2022-08-09,EVP,26,0.26,NA,NA,NA,NA,NA,oth,1.436199596190181
NA,196,3,4737169.571,347904.01,1.374,NA,2022-08-11,EVP,26,0.26,NA,NA,NA,NA,NA,oth,NA
NA,197,3,4737369.467,347367.015,1.371,NA,2022-08-09,EVP,27,0.27,NA,NA,NA,NA,NA,oth,NA
NA,199,6,4737198.262,348106.494,1.327,NA,2022-08-11,EVP,14,0.14,NA,NA,NA,NA,NA,oth,NA
